2025-12-01 15:38:31,003 - Unhandled exception in listener callback
Traceback (most recent call last):
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/_util/__init__.py", line 230, in inner
    return f(self, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/_util/xorg.py", line 472, in _handler
    self._handle_message(self._display_stop, event, injected)
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/keyboard/_xorg.py", line 578, in _handle_message
    self.on_press(key, injected)
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/_util/__init__.py", line 146, in inner
    if f(*args) is False:
       ^^^^^^^^
  File "/home/Hai/Documents/LIA/venv/lib/python3.11/site-packages/pynput/_util/__init__.py", line 291, in <lambda>
    return lambda *a: f(*a[:actual])
                      ^^^^^^^^^^^^^^
  File "/home/Hai/Documents/LIA/controller.py", line 227, in on_press
    client.publish("robot/manual movement", "stop")
    ^^^^^^
NameError: name 'client' is not defined
2025-12-01 17:18:19,949 - Received: robot = asdfe
2025-12-01 17:18:19,950 - Received: robot = asdfe
2025-12-01 17:18:20,104 - Received: robot = asdfe
2025-12-01 17:18:20,107 - Received: robot = asdfe
2025-12-01 17:18:20,268 - Received: robot = asdfe
2025-12-01 17:18:20,267 - Received: robot = asdfe
2025-12-01 17:18:20,428 - Received: robot = asdfe
2025-12-01 17:18:20,431 - Received: robot = asdfe
2025-12-01 17:18:20,586 - Received: robot = asdfe
2025-12-01 17:18:20,591 - Received: robot = asdfe
2025-12-01 17:18:20,733 - Received: robot = asdfe
2025-12-01 17:18:20,734 - Received: robot = asdfe
2025-12-01 17:18:20,885 - Received: robot = asdfe
2025-12-01 17:18:20,888 - Received: robot = asdfe
2025-12-01 17:18:21,034 - Received: robot = asdfe
2025-12-01 17:18:21,037 - Received: robot = asdfe
2025-12-01 17:18:21,185 - Received: robot = asdfe
2025-12-01 17:18:21,190 - Received: robot = asdfe
2025-12-01 17:18:21,333 - Received: robot = asdfe
2025-12-01 17:18:21,334 - Received: robot = asdfe
2025-12-01 17:18:21,383 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:21,386 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:21,483 - Received: robot = asdfe
2025-12-01 17:18:21,481 - Received: robot = asdfe
2025-12-01 17:18:21,627 - Received: robot = asdfe
2025-12-01 17:18:21,629 - Received: robot = asdfe
2025-12-01 17:18:21,788 - Received: robot = asdfe
2025-12-01 17:18:21,793 - Received: robot = asdfe
2025-12-01 17:18:21,943 - Received: robot = asdfe
2025-12-01 17:18:21,946 - Received: robot = asdfe
2025-12-01 17:18:22,097 - Received: robot = asdfe
2025-12-01 17:18:22,098 - Received: robot = asdfe
2025-12-01 17:18:22,261 - Received: robot = asdfe
2025-12-01 17:18:22,262 - Received: robot = asdfe
2025-12-01 17:18:22,404 - Received: robot = asdfe
2025-12-01 17:18:22,406 - Received: robot = asdfe
2025-12-01 17:18:22,560 - Received: robot = asdfe
2025-12-01 17:18:22,561 - Received: robot = asdfe
2025-12-01 17:18:22,717 - Received: robot = asdfe
2025-12-01 17:18:22,718 - Received: robot = asdfe
2025-12-01 17:18:22,877 - Received: robot = asdfe
2025-12-01 17:18:22,878 - Received: robot = asdfe
2025-12-01 17:18:23,037 - Received: robot = asdfe
2025-12-01 17:18:23,039 - Received: robot = asdfe
2025-12-01 17:18:23,206 - Received: robot = asdfe
2025-12-01 17:18:23,207 - Received: robot = asdfe
2025-12-01 17:18:23,358 - Received: robot = asdfe
2025-12-01 17:18:23,359 - Received: robot = asdfe
2025-12-01 17:18:23,518 - Received: robot = asdfe
2025-12-01 17:18:23,519 - Received: robot = asdfe
2025-12-01 17:18:23,672 - Received: robot = asdfe
2025-12-01 17:18:23,673 - Received: robot = asdfe
2025-12-01 17:18:23,721 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:23,723 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:23,835 - Received: robot = asdfe
2025-12-01 17:18:23,840 - Received: robot = asdfe
2025-12-01 17:18:23,996 - Received: robot = asdfe
2025-12-01 17:18:24,002 - Received: robot = asdfe
2025-12-01 17:18:24,149 - Received: robot = asdfe
2025-12-01 17:18:24,151 - Received: robot = asdfe
2025-12-01 17:18:24,300 - Received: robot = asdfe
2025-12-01 17:18:24,301 - Received: robot = asdfe
2025-12-01 17:18:24,435 - Received: robot = asdfe
2025-12-01 17:18:24,435 - Received: robot = asdfe
2025-12-01 17:18:25,772 - Received: robot = asdfe
2025-12-01 17:18:25,775 - Received: robot = asdfe
2025-12-01 17:18:25,959 - Received: robot = asdfe
2025-12-01 17:18:25,959 - Received: robot = asdfe
2025-12-01 17:18:26,383 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:26,385 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:28,722 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:28,722 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:31,385 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:31,388 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:33,725 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:33,729 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:36,387 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:36,390 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:38,730 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:38,735 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:41,393 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:41,393 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:43,734 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:43,737 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:46,395 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:46,398 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:48,737 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:48,741 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:51,398 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:51,399 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:53,738 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:53,740 - Received: robot/behaviour/drive = forward
2025-12-01 17:18:56,397 - Received: robot/behaviour/drive = forward
